CLAVE|DESCRIPCION|DESCRIPCION_BUSQUEDA|LINEA|GRABADO|COLOR|LONGITUD|ANCHO|ESPESOR|PRECIO|INVENTARIO
P516|ARPA CRISTAL 1.00*1.80|ARPA CRISTAL 1.00*1.80|PLA|Arpa|CRISTAL|1.8|1|2.8|350|
P515|ARPA CRISTAL 0.80*1.80|ARPA CRISTAL 0.80*1.80|PLA|Arpa|CRISTAL|1.8|0.8|2.8|381|
P514|ARPA CRISTAL 0.70*1.80|ARPA CRISTAL 0.70*1.80|PLA|Arpa|CRISTAL|1.8|0.7|2.8|245|
P580|CORAL AZUL 1.20*1.80|CORAL AZUL 1.20*1.80|PLA|Coral|AZUL|1.8|1.2|2.8|420|
P579|CORAL AZUL 1.00*1.80|CORAL AZUL 1.00*1.80|PLA|Coral|AZUL|1.8|1|2.8|350|
P578|CORAL AZUL 0.80*1.80|CORAL AZUL 0.80*1.80|PLA|Coral|AZUL|1.8|0.8|2.8|381|
P577|CORAL AZUL 0.70*1.80|CORAL AZUL 0.70*1.80|PLA|Coral|AZUL|1.8|0.7|2.8|245|
P573|CORAL HUMO 1.20*1.80|CORAL HUMO 1.20*1.80|PLA|Coral|HUMO|1.8|1.2|2.8|420|
P572|CORAL HUMO 1.00*1.80|CORAL HUMO 1.00*1.80|PLA|Coral|HUMO|1.8|1|2.8|350|
P571|CORAL HUMO 0.80*1.80|CORAL HUMO 0.80*1.80|PLA|Coral|HUMO|1.8|0.8|2.8|381|
P570|CORAL HUMO 0.70*1.80|CORAL HUMO 0.70*1.80|PLA|Coral|HUMO|1.8|0.7|2.8|245|
P559|CORAL CRISTAL 1.20*1.80|CORAL CRISTAL 1.20*1.80|PLA|Coral|CRISTAL|1.8|1.2|2.8|420|
P558|CORAL CRISTAL 1.00*1.80|CORAL CRISTAL 1.00*1.80|PLA|Coral|CRISTAL|1.8|1|2.8|350|
P557|CORAL CRISTAL 0.80*1.80|CORAL CRISTAL 0.80*1.80|PLA|Coral|CRISTAL|1.8|0.8|2.8|381|
P556|CORAL CRISTAL 0.70*1.80|CORAL CRISTAL 0.70*1.80|PLA|Coral|CRISTAL|1.8|0.7|2.8|245|
P27|CRISTALEN HUMO 1.20*1.80|CRISTALEN HUMO 1.20*1.80|PLA|Cristalen|HUMO|1.8|1.2|2.8|420|
P26|CRISTALEN HUMO 1.00*1.80|CRISTALEN HUMO 1.00*1.80|PLA|Cristalen|HUMO|1.8|1|2.8|350|
P25|CRISTALEN HUMO 0.80*1.80|CRISTALEN HUMO 0.80*1.80|PLA|Cristalen|HUMO|1.8|0.8|2.8|381|
P24|CRISTALEN HUMO 0.70*1.80|CRISTALEN HUMO 0.70*1.80|PLA|Cristalen|HUMO|1.8|0.7|2.8|245|
P23|CRISTALEN CRISTAL 1.20*2.50|CRISTALEN CRISTAL 1.20*2.50|PLA|Cristalen|CRISTAL|2.5|1.2|2.8|583|
P22|CRISTALEN CRISTAL 1.20*2.20|CRISTALEN CRISTAL 1.20*2.20|PLA|Cristalen|CRISTAL|2.2|1.2|2.8|514|
P21|CRISTALEN CRISTAL 1.00*2.00|CRISTALEN CRISTAL 1.00*2.00|PLA|Cristalen|CRISTAL|2|1|2.8|388|
P20|CRISTALEN CRISTAL 1.20*1.80|CRISTALEN CRISTAL 1.20*1.80|PLA|Cristalen|CRISTAL|1.8|1.2|2.8|420|
P19|CRISTALEN CRISTAL 1.00*1.80|CRISTALEN CRISTAL 1.00*1.80|PLA|Cristalen|CRISTAL|1.8|1|2.8|350|
